Batch,Tokens,Loss,λ_eff,λ_dom,λ_rel,λ_div,Clusters,r_i,K,Confidence,tok/s,Experts
20,5355,0.0483,0.2800,0.2800,0.1700,0.2700,,0.4987,1,,18,82
40,10797,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5002,1,,17,82
60,14593,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5001,1,,22,91
80,19856,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5010,1,,26,81
100,25175,0.0000,0.2800,0.2900,0.1500,0.2800,10,0.4996,1,,29,82
120,30105,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5014,1,,31,82
140,35901,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5048,1,,19,92
160,40646,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5035,1,,25,82
180,45412,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5068,1,,21,88
200,49255,0.0000,0.2800,0.2900,0.1500,0.2800,14,0.5045,1,,14,82
220,54952,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5203,1,,14,76
240,60084,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5229,1,,27,88
260,65519,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5197,1,,13,89
280,70711,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5067,1,,18,89
300,76333,0.0000,0.2800,0.2900,0.1500,0.2800,9,0.5095,1,,25,89
320,82243,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5035,1,,17,91
340,87654,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5049,1,,30,80
360,92791,0.0000,0.2800,0.2800,0.1500,0.2800,,0.5099,1,,13,89
380,95700,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5137,1,,13,82
400,101219,0.0000,0.2800,0.2900,0.1500,0.2800,24,0.5148,1,,29,86
420,105931,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5136,1,,25,86
440,111717,0.0000,0.2800,0.2900,0.1500,0.2900,,0.5226,1,,18,86
460,117350,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5608,1,,18,82
480,121064,0.0000,0.2800,0.2800,0.1500,0.2900,,0.5344,1,,19,79
500,127064,0.0000,0.2800,0.2800,0.1500,0.2900,13,0.5188,1,,19,86
520,133641,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5230,1,,29,86
540,138619,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5408,1,,21,79
560,143228,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5710,1,,19,82
580,148327,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5735,1,,18,82
600,154739,0.0000,0.2800,0.2900,0.1500,0.2900,12,0.5936,1,,26,82
620,160889,0.0000,0.2800,0.2900,0.1500,0.2800,,0.6021,1,,22,86
640,167621,0.0000,0.2800,0.2900,0.1500,0.2800,,0.6867,1,,31,82
660,173211,0.0000,0.2800,0.2900,0.1500,0.2800,,0.6627,1,,30,86
680,179659,0.0000,0.2800,0.2900,0.1500,0.2800,,0.6336,1,,26,88
700,185351,0.0000,0.2800,0.2900,0.1500,0.2800,15,0.6872,1,,15,82
720,190259,0.0000,0.2800,0.2900,0.1500,0.2800,,0.7914,1,,12,82
740,196999,0.0000,0.2800,0.2900,0.1500,0.2800,,0.7659,1,,30,82
760,203125,0.0000,0.2800,0.2900,0.1500,0.2800,,0.7368,1,,20,88
780,209435,0.0000,0.2800,0.2900,0.1500,0.2800,,0.6962,1,,30,82
800,215444,0.0000,0.2800,0.2900,0.1500,0.2800,16,0.7512,1,,31,82
820,220348,0.0000,0.2800,0.2900,0.1500,0.2800,,0.7137,1,,17,92
840,224572,0.0000,0.2800,0.2900,0.1500,0.2800,,0.6094,1,,27,82
860,230520,0.0000,0.2800,0.2900,0.1500,0.2800,,0.7884,1,,33,82
880,236716,0.0000,0.2800,0.2900,0.1500,0.2800,,0.7396,1,,25,90
900,242277,0.0000,0.2800,0.2900,0.1500,0.2800,8,0.5678,1,,19,82
920,247027,0.0000,0.2800,0.2900,0.1500,0.2800,,0.8098,1,,26,88
940,250988,0.0000,0.2800,0.2900,0.1500,0.2800,,0.6404,1,,18,82
960,257705,0.0000,0.2800,0.2900,0.1500,0.2800,,0.6845,1,,22,88
980,261328,0.0000,0.2800,0.2900,0.1500,0.2800,,0.8227,1,,22,87
1000,266451,0.0000,0.2800,0.2900,0.1500,0.2900,21,0.7400,1,,16,82
1020,273242,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5522,1,,33,79
1040,278415,0.0000,0.2800,0.2900,0.1500,0.2800,,0.6107,1,,15,96
1060,284364,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5035,1,,20,83
1080,290217,0.0000,0.2900,0.2900,0.1500,0.2800,,0.5867,1,,30,82
1100,296964,0.0000,0.2800,0.2900,0.1500,0.2800,6,0.5256,1,,27,81
1120,302476,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5231,1,,18,81
1140,307988,0.0000,0.2800,0.2900,0.1500,0.2800,,0.6244,1,,33,81
1160,314295,0.0000,0.2800,0.2900,0.1500,0.2800,,0.7332,1,,11,82
1180,318441,0.0000,0.2800,0.2900,0.1500,0.2800,,0.7216,1,,20,82
1200,322927,0.0000,0.2800,0.2900,0.1500,0.2800,21,0.7040,1,,32,81
1220,328048,0.0000,0.2800,0.2900,0.1500,0.2800,,0.7188,1,,22,81
1240,333800,0.0000,0.2800,0.2900,0.1500,0.2800,,0.7180,1,,33,90
1260,339789,0.0000,0.2800,0.2900,0.1500,0.2800,,0.7433,1,,32,82
1280,344295,0.0000,0.2800,0.2900,0.1500,0.2800,,0.5853,1,,22,87
